1	Ready!! Steady!! Derby!!	Pw37KNZtZHM
2	Beyond the Finale	jzKBGaEPBXk
3	PRISMATIC SPURT!!!!	Rx2Z4qqWRyE
4	うまぴょい伝説	pr7JcZZUvL4
5	【ウマ娘 プリティーダービー】「GOCHISO様」MV	MMnvp_O7zSA
6	【ウマ娘 プリティーダービー】「宇宙走娘＜コスモピュエラ＞　銀河冒険譚」MV	lSnvclkipW0
7	爆熱マイソウル	LQT0HuDLkL8
8	QueenBee	Ooo65745vzQ
9	十帰りの花	OhdHuBwOPOo
10	朝露は大河の夢を見る	GU3-osa5sN0
11	Over a Tiara	xO-fzqAhxGE
12	うまぴょい伝説	AnUht8DmWu8
13	U.M.A. NEW WORLD!!	dPj1yTKbWuM
14	EXCEED	GVOxmfguY5k
15	僕が憧れた青	LsVoGIg4zSs
16	Confident	nPc4TVx_jA8
17	うまぴょい伝説	Pt1q1ovoS2M
18	しゃぼん玉	rFRR1gPQeKQ
19	ピスピス☆スピスピ ゴルシちゃんのうた	ocPMfuS4xhA
20	【ウマ娘 プリティーダービー】「Fanfare for Future! (maeshima soshi Remix)」	FDWqAijdct0
21	【ウマ娘 プリティーダービー】「逃げ切りっ！Fallin' Love (YUC'e Remix)」	BRMXJ8sEMoE
22	【ウマ娘 プリティーダービー】「彩 Phantasia (YMCK Remix)」	Hi255LHOvAA
23	【ウマ娘 プリティーダービー】「恋はダービー☆ (DÉ DÉ MOUSE Remix)」	8xFS9T5lilM
24	【ウマ娘 プリティーダービー】「禁断Burning Heart (AJURIKA Remix)」	R3E2iWLB1hA
25	【ウマ娘 プリティーダービー】「Exercise the Right (Menma The Cat Remix)」	XVIUUKPVJbc
26	【ウマ娘 プリティーダービー】「ユースフルアイズ (detch Remix)」	R6h0rkcvMgs
27	【ウマ娘 プリティーダービー】「NEXT FRONTIER (fox capture plan Remix)」	MjMXnZcInX0
28	【ウマ娘 プリティーダービー】「UNLIMITED IMPACT (Shinichi Osawa Remix)」	gy92x9IJEfk
29	【ウマ娘 プリティーダービー】「走れウマ娘 (Shuhei Takahashi Remix)」	06BLOQ1bjZw
30	【ウマ娘 プリティーダービー】「木漏れ日のエール (Sasuke Haraguchi Remix)」	LXBj5yaRxIo
31	ウマ娘  - うまぴょい伝説（32人mix）	mEVC3prQz0Y
32	MAKE DEBUT - OP UMA MUSUME PRETTY DERBY (TV)	Yeu9HQUt6TE
33	ウマ娘_プリティーダービー 七色の景色	89oKQhk7I3Y
34	グロウアップ・シャイン！ (2021 Remastered Version)	XUoDal5anMU
