OG1i3Cu5b14, GSK☆
6T89SzadLHE, Glorious Moment！
Z5AFWI7VTZA, Forever gold
z_kJyUh6B3c, Like a Shooting Star
ru1sENI4G8w, ONCE MORE, I CAN
KzBJYw2jLPQ, ゼッタイトナリ... ！
vv42RuQb-Ns, イチバン星が駆ける空
bFB3_7VqmD0, うまぴょい伝説 (Anime Size)
HqCcozN6qRw, うまぴょい伝説 (TAKU INOUE Remix)
bAAGaExrvQ8, Never Looking Back (PandaBoY Remix)
btlMn_zKXXE, BLOW my GALE (TeddyLoid Remix)
heBgpa_3uEI, GIRLS' LEGEND U (tofubeats Remix)
AD5288Tlky4, Make debut! (モリシー [Awesome City Club] Remix)
6AEL2I-QhhM, We are DREAMERS!! (Taku Takahashi Remix)
FS-S6tJiCJU, winning the soul (PandaBoY Remix)
D3qlA8j4OOo, 笑顔の宝物 -Beyond The Future!- (invisible manners Remix)
B1Q8qh-UPII, うまぴょい伝説 (Sasuke Haraguchi Remix)
2WNeXnLkbqA, ユメヲカケル！ (Takeshi Nakatsuka Remix)
QTLE0XtO9Lc, Hat on your Head！
zOETv9ToyN8, ゆるパカHAPPY DAYS！
WPv-hvplM5w, ミッドナイト・エピローグ
UT9WxaxYEkI, Dance 2 Endless Beat
Kxp3QLFySjk, #ウマRAP
Sl-gsDbkI2M, うまゆるラップでプチョヘンザ
cjpJXmcSO7U, ブライト メロディー
vG_DXf1AqfQ, 永遠の色彩
kdqMXOHOCuE, うまぴょい伝説 (Game Size)
FO2cZPOXX7g, DRAMATIC JOURNEY
N-ldHG-7FBU, Everlasting BEATS
M7wigis37Cw, うまぴょい伝説
mEVC3prQz0Y, ウマ娘  - うまぴょい伝説（32人mix）
Yeu9HQUt6TE, MAKE DEBUT - OP UMA MUSUME PRETTY DERBY (TV)
89oKQhk7I3Y, ウマ娘_プリティーダービー 七色の景色
no4ZzQIRfVw, グロウアップ・シャイン！！
xgh6iSTiTeQ, ありがとう、神様
xb9sAi0Rphs, Special record - Uma Musume Pretty Derby
gaKVDF-gb90, ウマ娘 Find My Only Way
vS-XJxAScTQ, うまぴょい伝説 (TV size) (2021 Remastered Version)
8d3YU2NWles, Special Record! (2021 Remastered Version)
ZuaO2p0lL4s, Umapyoi Densetsu - Trainer Ver (Uma Musume)
qLZTz43cSZw, Special Record! (2021 Remastered Version)
2aJa2F0LT04, 【ウマ娘 /賽馬娘】うまぴょい伝説 (Covered by 豐口惠)
c9d12ZUZ3-I, Special Record! (2021 Remastered Version)
gPuYPuPLIqs, 【ウマ娘 /賽馬娘】うまぴょい伝説 (Covered by 明坂聡美)
uFbzCv8jsQU, ウマ娘　Fanfare_for_Future!
